"2019-12-18 08:03:53 [restartedMain] INFO  c.e.javalab.Javalab3Sem2Application- Starting Javalab3Sem2Application on user-VAIO with PID 2548 (started by user in E:\Program Files\JavaLab\javalab6Sem2)
 ""2019-12-18 08:03:53 [restartedMain] INFO  c.e.javalab.Javalab3Sem2Application- No active profile set, falling back to default profiles: default
 ""2019-12-18 08:03:56 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls- The Class-Path manifest attribute in C:\Users\user\.m2\repository\com\oracle\ojdbc\oraclepki\19.3.0.0\oraclepki-19.3.0.0.jar referenced one or more files that do not exist: file:/C:/Users/user/.m2/repository/com/oracle/ojdbc/oraclepki/19.3.0.0/osdt_core.jar,file:/C:/Users/user/.m2/repository/com/oracle/ojdbc/oraclepki/19.3.0.0/osdt_cert.jar,file:/C:/Users/user/.m2/repository/com/oracle/ojdbc/oraclepki/oracle.osdt/osdt_core.jar,file:/C:/Users/user/.m2/repository/com/oracle/ojdbc/oraclepki/oracle.osdt/osdt_cert.jar
 ""2019-12-18 08:03:56 [restartedMain] INFO  o.s.b.d.restart.ChangeableUrls- The Class-Path manifest attribute in C:\Users\user\.m2\repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/C:/Users/user/.m2/repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
 ""2019-12-18 08:03:56 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor- Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
 ""2019-12-18 08:03:56 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor- For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
 ""2019-12-18 08:04:16 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate- Bootstrapping Spring Data repositories in DEFAULT mode.
 ""2019-12-18 08:04:18 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate- Finished Spring Data repository scanning in 1815ms. Found 3 repository interfaces.
 ""2019-12-18 08:04:27 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker- Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 ""2019-12-18 08:04:38 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer- Tomcat initialized with port(s): 8080 (http)
 ""2019-12-18 08:04:38 [restartedMain] INFO  o.a.catalina.core.StandardService- Starting service [Tomcat]
 ""2019-12-18 08:04:38 [restartedMain] INFO  o.a.catalina.core.StandardEngine- Starting Servlet engine: [Apache Tomcat/9.0.27]
 ""2019-12-18 08:04:39 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/]- Initializing Spring embedded WebApplicationContext
